title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url
Texasville,Feature Film,Drama,123,R,Cine-Source,1991,1,1,2002,9,17,6,1887,Rotten,55,Spilled,50,no,no,yes,no,no,no,Peter Bogdanovich,Jeff Bridges,Cybill Shepherd,Annie Potts,Timothy Bottoms,Cloris Leachman,http://www.imdb.com/title/tt0103069/,//www.rottentomatoes.com/m/texasville/
Clerks II,Feature Film,Drama,97,R,MGM,2006,7,21,2006,11,28,7.4,112216,Fresh,63,Upright,84,no,no,no,no,no,no,Kevin Smith,Brian O'Halloran,Jeff Anderson,Rosario Dawson,Jason Mewes,Trevor Fehrman,http://www.imdb.com/title/tt0424345/,//www.rottentomatoes.com/m/clerks_2/
White House Down,Feature Film,Drama,131,PG-13,Sony Pictures,2013,6,28,2013,11,5,6.4,154674,Rotten,51,Upright,62,no,no,yes,no,no,no,Roland Emmerich,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,Jason Clarke,Richard Jenkins,http://www.imdb.com/title/tt2334879/,//www.rottentomatoes.com/m/white_house_down/
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Feature Film,Drama,126,R,MGM,1985,8,30,2004,2,3,6.7,12535,Fresh,79,Upright,63,no,no,no,no,no,no,Paul Verhoeven,Rutger Hauer,Jennifer Jason Leigh,Tom Burlinson,Jack Thompson,Susan Tyrrell,http://www.imdb.com/title/tt0089153/,//www.rottentomatoes.com/m/1007538-flesh_and_blood/
Bastard out of Carolina,Feature Film,Drama,97,R,Winstar,1996,12,15,2000,4,25,7.4,3363,Fresh,100,Upright,83,no,no,no,no,no,no,Anjelica Huston,Jennifer Jason Leigh,Jena Malone,Ron Eldard,Dermot Mulroney,Glenne Headly,http://www.imdb.com/title/tt0115633/,//www.rottentomatoes.com/m/bastard_out_of_carolina/
Rescue Dawn,Feature Film,Drama,120,PG-13,MGM,2007,7,27,2007,11,20,7.4,82378,Certified Fresh,91,Upright,74,no,no,no,no,no,no,Werner Herzog,Christian Bale,Steve Zahn,Jeremy Davies,Marshall Bell,Teerawat Mulvilai,http://www.imdb.com/title/tt0462504/,//www.rottentomatoes.com/m/rescue_dawn/
The Longshots,Feature Film,Drama,94,PG,The Weinstein Company,2008,8,22,2008,12,2,5.1,3135,Rotten,41,Upright,61,no,no,no,no,no,no,Fred Durst,Ice Cube,Keke Palmer,Tasha Smith,Jill Marie Jones,Dash Mihok,http://www.imdb.com/title/tt1091751/,//www.rottentomatoes.com/m/longshots/
U-Turn,Feature Film,Drama,125,R,Sony Pictures Home Entertainment,1997,10,3,1998,3,31,6.8,41385,Rotten,59,Upright,62,no,no,yes,no,yes,no,Oliver Stone,Sean Penn,Nick Nolte,Jennifer Lopez,Powers Boothe,Claire Danes,http://www.imdb.com/title/tt0120399/,//www.rottentomatoes.com/m/u_turn_1997/
A Boy and His Dog,Feature Film,Drama,91,R,eRealBiz,1975,3,1,2003,11,18,6.6,12221,Fresh,75,Upright,63,no,no,no,no,no,no,L.Q. Jones,Don Johnson,Susanne Benton,Jason Robards,Tiger,Charles McGraw,http://www.imdb.com/title/tt0072730/,//www.rottentomatoes.com/m/boy_and_his_dog/
Lorenzo's Oil,Feature Film,Drama,129,PG-13,MCA Universal Home Video,1992,12,30,2004,4,6,7.2,15913,Fresh,94,Upright,79,no,no,no,yes,no,no,NA,Nick Nolte,Susan Sarandon,Peter Ustinov,Kathleen Wilhoite,Gerry Bamman,http://www.imdb.com/title/tt0104756/,//www.rottentomatoes.com/m/lorenzos_oil/
Conviction,Feature Film,Drama,107,R,Fox Searchlight,2010,10,15,2011,2,1,7.2,33720,Fresh,67,Upright,70,no,no,no,no,no,no,Tony Goldwyn,Sam Rockwell,Minnie Driver,Melissa Leo,Peter Gallagher,Ari Graynor,http://www.imdb.com/title/tt1244754/,//www.rottentomatoes.com/m/conviction_2010/
Bounce,Feature Film,Drama,106,PG-13,Miramax Films,2000,11,17,2001,4,10,5.7,17133,Rotten,52,Spilled,33,no,no,no,yes,no,no,Don Roos,Ben Affleck,Gwyneth Paltrow,Tony Goldwyn,Alex D. Linz,David Dorfman,http://www.imdb.com/title/tt0186894/,//www.rottentomatoes.com/m/bounce/
A Mighty Heart,Feature Film,Drama,108,R,Paramount Vantage,2007,6,22,2007,10,16,6.7,23821,Certified Fresh,79,Upright,70,no,no,no,no,no,no,Michael Winterbottom,Angelina Jolie,Dan Futterman,Archie Panjabi,Irfan Khan,Will Patton,http://www.imdb.com/title/tt0829459/,//www.rottentomatoes.com/m/mighty_heart/
Santa Sangre,Feature Film,Drama,123,R,Republic Pictures Home Video,1990,6,1,1991,3,28,7.7,13285,Fresh,85,Upright,87,no,no,no,no,no,no,Alejandro Jodorowsky,Sergio Bustamante,Adan Jodorowsky,Jesus Juarez,Axel Jodorowsky,Guy Stockwell,http://www.imdb.com/title/tt0098253/,//www.rottentomatoes.com/m/santa_sangre/
Top Gun,Feature Film,Drama,110,PG,Paramount Pictures,1986,5,16,1998,10,20,6.9,211129,Rotten,54,Upright,83,no,no,no,no,no,yes,Tony Scott,Tom Cruise,Kelly McGillis,Anthony Edwards,Val Kilmer,Tom Skerritt,http://www.imdb.com/title/tt0092099/,//www.rottentomatoes.com/m/top_gun/
25th Hour,Feature Film,Drama,135,R,Touchstone Pictures,2003,1,10,2003,5,20,7.7,146518,Certified Fresh,78,Upright,85,no,no,yes,no,no,no,Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,Anna Paquin,http://www.imdb.com/title/tt0307901/,//www.rottentomatoes.com/m/25th_hour/
Streets of Gold,Feature Film,Drama,95,R,Live Home Video,1986,11,14,NA,NA,NA,6,486,Rotten,31,Spilled,44,no,no,no,no,no,no,Joe Roth,Klaus Maria Brandauer,Adrian Pasdar,Richard Pasdar,Wesley Snipes,Angela Molina,http://www.imdb.com/title/tt0092022/,//www.rottentomatoes.com/m/streets_of_gold/
The Mod Squad,Feature Film,Drama,92,R,MGM,1999,3,26,1999,8,24,4.1,7658,Rotten,4,Spilled,17,no,no,no,no,no,no,Scott Silver,Claire Danes,Giovanni Ribisi,Omar Epps,Josh Brolin,Dennis Farina,http://www.imdb.com/title/tt0120757/,//www.rottentomatoes.com/m/mod_squad/
Where the Heart Is,Feature Film,Drama,107,R,Touchstone Pictures,1990,1,1,2003,6,3,6.1,1268,Rotten,11,Spilled,58,no,no,no,no,no,no,John Boorman,Dabney Coleman,Uma Thurman,Joanna Cassidy,Crispin Glover,Suzy Amis,http://www.imdb.com/title/tt0100924/,//www.rottentomatoes.com/m/1028561-where_the_heart_is/
Never Cry Wolf,Feature Film,Drama,105,PG,Disney,1983,1,1,2000,2,22,7.6,6114,Fresh,100,Upright,85,no,no,no,no,no,no,Carroll Ballard,Charles Martin Smith,Brian Dennehy,Zachary Ittimangnaq,Samson Jorah,Hugh Webster,http://www.imdb.com/title/tt0086005/,//www.rottentomatoes.com/m/never_cry_wolf/
A Good Woman,Feature Film,Drama,93,PG,Lions Gate Films,2006,2,3,2006,6,13,6.5,9399,Rotten,37,Spilled,49,no,no,no,yes,no,no,Mike Barker,Helen Hunt,Scarlett Johansson,Tom Wilkinson,Stephen Campbell Moore,Mark Umbers,http://www.imdb.com/title/tt0379306/,//www.rottentomatoes.com/m/good_woman/
Drive,Feature Film,Drama,100,R,FilmDistrict,2011,9,16,2012,1,31,7.8,414650,Certified Fresh,92,Upright,79,no,no,no,no,no,no,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Albert Brooks,Bryan Cranston,Christina Hendricks,http://www.imdb.com/title/tt0780504/,//www.rottentomatoes.com/m/drive_2011/
2 Days in the Valley,Feature Film,Drama,104,R,HBO Video,1996,9,27,2001,8,7,6.5,15291,Fresh,60,Spilled,54,no,no,no,yes,no,no,John Herzfeld,Danny Aiello,Greg Cruttwell,James Spader,Teri Hatcher,Charlize Theron,http://www.imdb.com/title/tt0115438/,//www.rottentomatoes.com/m/2_days_in_the_valley/
Married to It,Feature Film,Drama,112,R,Orion Home Video,1993,3,26,2003,4,1,5.9,725,Rotten,33,Spilled,41,no,no,no,no,no,no,Arthur Hiller,Beau Bridges,Stockard Channing,Robert Sean Leonard,Mary Stuart Masterson,Cybill Shepherd,http://www.imdb.com/title/tt0107523/,//www.rottentomatoes.com/m/married_to_it/
Pay It Forward,Feature Film,Drama,123,PG-13,Warner Bros. Pictures,2000,10,20,2001,5,15,7.1,93331,Rotten,40,Upright,77,no,no,yes,yes,no,no,Mimi Leder,Kevin Spacey,Helen Hunt,Haley Joel Osment,Angie Dickinson,Jay Mohr,http://www.imdb.com/title/tt0223897/,//www.rottentomatoes.com/m/pay_it_forward/
Topsy-Turvy,Feature Film,Drama,154,R,October Films,1999,12,17,2000,6,20,7.4,9876,Certified Fresh,89,Upright,79,no,no,no,no,no,no,Mike Leigh,Jim Broadbent,Allan Corduner,Alan Corduner,Timothy Spall,Lesley Manville,http://www.imdb.com/title/tt0151568/,//www.rottentomatoes.com/m/topsyturvy/
Beyond the Gates,Feature Film,Drama,115,R,IFC First Take,2005,12,8,2007,9,18,7.7,9525,Certified Fresh,84,Upright,85,no,no,no,no,no,no,Michael Caton-Jones,John Hurt,Hugh Dancy,Dominique Horwitz,Louis Mahoney,Nicola Walker,http://www.imdb.com/title/tt0420901/,//www.rottentomatoes.com/m/beyond_the_gates/
Night and the City,Feature Film,Drama,105,R,Twentieth Century Fox Home Entertainment,1992,10,11,1993,4,21,5.8,3673,Fresh,67,Spilled,31,no,no,yes,yes,no,no,Irwin Winkler,Robert De Niro,Jessica Lange,Cliff Gorman,Alan King,Eli Wallach,http://www.imdb.com/title/tt0105001/,//www.rottentomatoes.com/m/1040890-night_and_the_city/
Wimbledon,Feature Film,Drama,98,PG-13,Universal Pictures,2004,9,17,2004,12,28,6.3,50340,Fresh,60,Spilled,57,no,no,no,no,no,no,Richard Loncraine,Kirsten Dunst,Paul Bettany,Sam Neill,James McAvoy,Bernard Hill,http://www.imdb.com/title/tt0360201/,//www.rottentomatoes.com/m/wimbledon/
B. Monkey,Feature Film,Drama,92,R,Miramax,1999,9,10,2000,3,21,6,2934,Fresh,61,Spilled,55,no,no,no,no,no,no,Michael Radford,Asia Argento,Jared Harris,Rupert Everett,Jonathan Rhys Meyers,Julie T. Wallace,http://www.imdb.com/title/tt0120594/,//www.rottentomatoes.com/m/b_monkey/
V for Vendetta,Feature Film,Drama,132,R,Warner Bros. Pictures,2006,3,17,2006,8,1,8.2,753592,Certified Fresh,73,Upright,90,no,no,no,yes,no,no,James McTeigue,Natalie Portman,Hugo Weaving,Stephen Rea,John Hurt,Stephen Fry,http://www.imdb.com/title/tt0434409/,//www.rottentomatoes.com/m/v_for_vendetta/
One on One,Feature Film,Drama,98,PG,Warner Bros.,1977,6,28,2009,3,23,6.4,1141,Fresh,83,Upright,75,no,no,no,no,no,no,Lamont Johnson,Robby Benson,Annette O'Toole,G.D. Spradlin,Gail Strickland,Melanie Griffith,http://www.imdb.com/title/tt0076500/,//www.rottentomatoes.com/m/one-on-one/
Flesh And Bone,Feature Film,Drama,126,R,Paramount Home Video,1993,11,5,2002,4,16,6.2,3967,Fresh,67,Spilled,40,no,no,no,yes,no,no,Steve Kloves,Dennis Quaid,Meg Ryan,James Caan,Gwyneth Paltrow,Jerry Swindall,http://www.imdb.com/title/tt0106926/,//www.rottentomatoes.com/m/flesh_and_bone/
Knightriders,Feature Film,Drama,146,R,Laurel Entertainment,1981,1,1,2000,7,11,6.4,3138,Fresh,82,Upright,61,no,no,no,no,no,no,George A. Romero,Ed Harris,Gary Lahti,Tom Savini,Amy Ingersoll,Patricia Tallman,http://www.imdb.com/title/tt0082622/,//www.rottentomatoes.com/m/knightriders/
Madea Goes to Jail,Feature Film,Drama,103,PG-13,Lionsgate,2009,2,20,2009,6,16,4.1,9424,Rotten,29,Upright,70,no,no,no,no,no,no,Tyler Perry,Tyler Perry,Derek Luke,Keshia Knight Pulliam,Ion Overman,Sofia Vergara,http://www.imdb.com/title/tt1142800/,//www.rottentomatoes.com/m/madea-goes-to-jail/
Strictly Business,Feature Film,Drama,83,PG-13,Warner Home Video,1991,11,8,2007,9,18,5.3,1308,Rotten,10,Spilled,56,no,no,no,no,no,no,Rolando Hudson,Tommy Davidson,Joseph C. Phillips,Anne-Marie Johnson,David Marshall Grant,Jon Cypher,http://www.imdb.com/title/tt0102996/,//www.rottentomatoes.com/m/strictly_business/
The Sum of All Fears,Feature Film,Drama,124,PG-13,Paramount Pictures,2002,5,31,2002,10,29,6.4,84191,Rotten,59,Spilled,49,no,no,no,no,no,no,Phil Alden Robinson,Ben Affleck,Morgan Freeman,James Cromwell,Liev Schreiber,Bridget Moynahan,http://www.imdb.com/title/tt0164184/,//www.rottentomatoes.com/m/sum_of_all_fears/
Let the Right One In,Feature Film,Drama,115,R,Magnet/Magnolia Pictures,2008,1,26,2009,3,10,8,168032,Certified Fresh,98,Upright,90,no,no,no,no,no,no,Tomas Alfredson,Kare Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl,Karin Bergquist,http://www.imdb.com/title/tt1139797/,//www.rottentomatoes.com/m/let_the_right_one_in/
Volcano,Feature Film,Drama,104,PG-13,Twentieth Century Fox Home Entertainment,1997,4,25,2001,12,18,5.4,56329,Rotten,44,Spilled,31,no,no,no,no,no,no,Mick Jackson,Tommy Lee Jones,Anne Heche,Don Cheadle,Jacqueline Kim,Keith David,http://www.imdb.com/title/tt0120461/,//www.rottentomatoes.com/m/1076267-volcano/
Where the Heart Is,Feature Film,Drama,120,PG-13,Twentieth Century Fox Home Entertainment,2000,4,28,2000,9,26,6.8,26360,Rotten,35,Upright,77,no,no,no,yes,no,no,Matt Williams,Natalie Portman,Ashley Judd,Sally Field,Stockard Channing,Joan Cusack,http://www.imdb.com/title/tt0198021/,//www.rottentomatoes.com/m/1096832-where_the_heart_is/
The Darwin Awards,Feature Film,Drama,94,R,Blumhouse,2006,7,5,2007,7,31,5.9,8521,Rotten,25,Spilled,45,no,no,no,no,no,no,Finn Taylor,Joseph Fiennes,Winona Ryder,Chris Penn,Wilmer Valderrama,Tim Blake Nelson,http://www.imdb.com/title/tt0428446/,//www.rottentomatoes.com/m/darwin_awards/
Jade,Feature Film,Drama,95,R,Paramount,1995,10,13,1999,2,16,5.1,8999,Rotten,14,Spilled,27,no,no,no,no,yes,no,William Friedkin,David Caruso,Linda Fiorentino,Chazz Palminteri,Michael Biehn,Richard Crenna,http://www.imdb.com/title/tt0113451/,//www.rottentomatoes.com/m/jade/
Lethal Weapon,Feature Film,Drama,110,R,Warner Bros. Pictures,1987,3,6,2000,6,6,7.6,184656,Certified Fresh,84,Upright,85,no,no,no,no,no,no,Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Darlene Love,Mitchell Ryan,http://www.imdb.com/title/tt0093409/,//www.rottentomatoes.com/m/lethal_weapon/
Cast Away,Feature Film,Drama,143,PG-13,20th Century Fox,2000,12,22,2001,6,12,7.7,375820,Certified Fresh,90,Upright,83,no,no,yes,yes,yes,yes,Robert Zemeckis,Tom Hanks,Helen Hunt,Nick Searcy,Chris Noth,Lari White,http://www.imdb.com/title/tt0162222/,//www.rottentomatoes.com/m/cast_away/
Motorama,Feature Film,Drama,90,R,Sony Pictures Home Entertainment,1992,3,28,2001,12,18,6.4,1406,Fresh,60,Upright,61,no,no,no,no,no,no,Barry Shils,Jordan Christopher Michael,Sandy Baron,Mary Woronov,Meat Loaf,Drew Barrymore,http://www.imdb.com/title/tt0104922/,//www.rottentomatoes.com/m/motorama/
Lost and Delirious,Feature Film,Drama,103,R,Lions Gate Releasing,2001,7,20,2001,12,11,7,16755,Rotten,51,Upright,78,no,no,no,no,no,no,Lea Pool,Piper Perabo,Jessica Pare,Mischa Barton,Jackie Burroughs,Eleanor Bannet,http://www.imdb.com/title/tt0245238/,//www.rottentomatoes.com/m/lost_and_delirious/
Antiviral,Feature Film,Drama,108,Unrated,IFC,2013,4,12,2013,8,6,5.6,9003,Fresh,64,Spilled,40,no,no,no,no,no,no,Brandon Cronenberg,Caleb Landry Jones,Sarah Gadon,Douglas Smith,Joe Pingue,Malcolm McDowell,http://www.imdb.com/title/tt2099556/,//www.rottentomatoes.com/m/antiviral/
Failure to Launch,Feature Film,Drama,97,PG-13,Paramount Pictures,2006,3,10,2006,6,27,5.6,56361,Rotten,24,Spilled,52,no,no,yes,no,no,no,Tom Dey,Matthew McConaughey,Sarah Jessica Parker,Zooey Deschanel,Justin Bartha,Bradley Cooper,http://www.imdb.com/title/tt0427229/,//www.rottentomatoes.com/m/failure_to_launch/
A Stranger Among Us,Feature Film,Drama,110,PG-13,Buena Vista Pictures,1992,1,1,2003,6,3,5.7,2701,Rotten,23,Spilled,40,no,no,no,no,no,no,Sidney Lumet,Melanie Griffith,Eric Thal,John Pankow,Tracy Pollan,Lee Richardson,http://www.imdb.com/title/tt0105483/,//www.rottentomatoes.com/m/stranger_among_us/
Savior,Feature Film,Drama,103,R,Sony Pictures Home Entertainment,1998,11,20,1999,4,20,7.3,8561,Rotten,56,Upright,81,no,no,no,no,no,no,Predrag Antonijevic,Dennis Quaid,Nastassja Kinski,Natasa Ninkovic,Sergej Trifunovic,Nebojsa Glogovac,http://www.imdb.com/title/tt0120070/,//www.rottentomatoes.com/m/savior/
Project X,Feature Film,Drama,88,R,Warner Bros. Pictures,2012,3,2,2012,6,19,6.7,151934,Rotten,28,Upright,61,no,no,no,no,no,no,Jonathan Kaplan,Thomas Mann,Oliver Cooper,Dax Flame,Kirby Bliss Blanton,Jonathan Brown,http://www.imdb.com/title/tt1636826/,//www.rottentomatoes.com/m/project_x_2011/
Bottle Rocket,Feature Film,Drama,91,R,Columbia Pictures,1996,2,23,1998,12,22,7.1,52449,Certified Fresh,85,Upright,80,no,no,no,no,no,no,Wes Anderson,Owen Wilson,Luke Wilson,Robert Musgrave,Ned Dowd,James Caan,http://www.imdb.com/title/tt0115734/,//www.rottentomatoes.com/m/bottle_rocket/
At First Sight,Feature Film,Drama,128,PG-13,MGM,1999,1,15,1999,4,27,5.9,11001,Rotten,32,Spilled,46,no,no,no,no,no,no,Irwin Winkler,Val Kilmer,Mira Sorvino,Kelly McGillis,Steven Weber,Bruce Davison,http://www.imdb.com/title/tt0132512/,//www.rottentomatoes.com/m/1084607-at_first_sight/
Session 9,Feature Film,Drama,100,R,USA Films,2001,8,10,2002,2,26,6.5,42613,Fresh,63,Upright,64,no,no,no,no,no,no,Brad Anderson,David Caruso,Stephen Gevedon,Paul Guilfoyle,Josh Lucas,Peter Mullan,http://www.imdb.com/title/tt0261983/,//www.rottentomatoes.com/m/session_9/
Liz & Dick,TV Movie,Drama,88,Unrated,E1 Entertainment,2012,1,1,2013,5,14,4.1,3505,Rotten,33,Spilled,19,no,no,no,no,no,no,Lloyd Kramer,Lindsay Lohan,Grant  Bowler,Theresa Russell,David Hunt,Bruce Nozick,http://www.imdb.com/title/tt2375255/,//www.rottentomatoes.com/m/liz_and_dick/
Love and Death,Feature Film,Drama,85,PG,United Artists,1975,6,10,2000,7,5,7.8,26628,Fresh,100,Upright,90,no,no,no,yes,yes,no,Woody Allen,Woody Allen,Diane Keaton,Harold Gould,Despo Diamantidou,Edmond Ardisson,http://www.imdb.com/title/tt0073312/,//www.rottentomatoes.com/m/love_and_death/
Catch a Fire,Feature Film,Drama,101,PG-13,Focus Features,2006,10,27,2007,1,30,6.7,9291,Certified Fresh,76,Upright,71,no,no,no,no,no,no,Phillip Noyce,Tim Robbins,Derek Luke,Bonnie Henna,Mncedisi Shabangu,Tumisho K. Masha,http://www.imdb.com/title/tt0437232/,//www.rottentomatoes.com/m/catch_a_fire/
Run Lola Run,Feature Film,Drama,81,R,Sony Pictures Classics,1999,6,18,1999,12,21,7.8,157701,Certified Fresh,93,Upright,90,no,no,no,no,no,no,Tom Tykwer,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,Armin Rohde,http://www.imdb.com/title/tt0130827/,//www.rottentomatoes.com/m/run_lola_run/
Waking Life,Feature Film,Drama,99,R,Fox Searchlight,2001,1,19,2002,5,7,7.8,47065,Certified Fresh,80,Upright,87,no,no,no,no,no,no,Richard Linklater,Lorelei Linklater,Trevor Jack Brooks,Glover Gill,Timothy 'Speed' Levitch,Laura Hicks,http://www.imdb.com/title/tt0243017/,//www.rottentomatoes.com/m/waking_life/
Being John Malkovich,Feature Film,Drama,112,R,Gramercy Pictures,1999,10,29,2000,5,2,7.8,246587,Certified Fresh,93,Upright,87,no,no,no,no,no,no,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich,Orson Bean,http://www.imdb.com/title/tt0120601/,//www.rottentomatoes.com/m/being_john_malkovich/
Secondhand Lions,Feature Film,Drama,111,PG,New Line Cinema,2003,9,19,2004,2,3,7.6,42208,Rotten,59,Upright,84,no,no,yes,no,no,no,Tim McCanlies,Michael Caine,Robert Duvall,Haley Joel Osment,Kyra Sedgwick,Nicky Katt,http://www.imdb.com/title/tt0327137/,//www.rottentomatoes.com/m/secondhand_lions/
Politiki Kouzina (A Touch of Spice),Feature Film,Drama,108,Unrated,Brainstorm Media,2003,10,24,2010,1,26,7.6,9216,Rotten,31,Upright,86,no,no,no,no,no,no,Tassos Boulmetis,Georges Corraface,Ieroklis Michaelidis,Ieroklis Mihailidis,Renia Louizidou,Basak Koklukaya,http://www.imdb.com/title/tt0378897/,//www.rottentomatoes.com/m/politiki-kouzina-a-touch-of-spice/
200 Cigarettes,Feature Film,Drama,101,R,Paramount Pictures,1999,2,26,1999,8,31,5.9,12877,Rotten,28,Spilled,59,no,no,no,no,no,no,Risa Bramon Garcia,Ben Affleck,Martha Plimpton,Paul Rudd,Janeane Garofalo,Courtney Love,http://www.imdb.com/title/tt0137338/,//www.rottentomatoes.com/m/200_cigarettes/
The Wild Geese,Feature Film,Drama,134,R,Tango Entertainment,1978,11,11,2005,9,27,6.8,9025,Fresh,60,Upright,76,no,no,no,no,no,no,Andrew V. McLaglen,Richard Burton,Richard Harris,Roger Moore,Hardy Kruger,Stewart Granger,http://www.imdb.com/title/tt0078492/,//www.rottentomatoes.com/m/wild_geese/
No Mercy,Feature Film,Drama,106,R,Sony Pictures Home Entertainment,1986,12,19,2001,3,6,5.6,4970,Rotten,21,Spilled,29,no,no,no,no,no,no,Richard Pearce,Richard Gere,Kim Basinger,Jeroen Krabbe,George Dzundza,Gary Basaraba,http://www.imdb.com/title/tt0091637/,//www.rottentomatoes.com/m/1015199-no_mercy/
Me and You and Everyone We Know,Feature Film,Drama,91,R,IFC Films,2005,6,24,2005,10,11,7.4,30641,Certified Fresh,81,Upright,84,no,no,no,no,no,no,Miranda July,John Hawkes,Miranda July,Miles Thompson,Brandon Ratcliff,Carlie Westerman,http://www.imdb.com/title/tt0415978/,//www.rottentomatoes.com/m/me_and_you_and_everyone_we_know/
Henry: Portrait of a Serial Killer,Feature Film,Drama,83,NC-17,GreyCat Films,1986,9,24,1998,11,17,7,22601,Certified Fresh,86,Upright,71,no,no,no,no,no,no,John McNaughton,Michael Rooker,Tom Towles,Tracy Arnold,Tracey Arnold,Mary Demas,http://www.imdb.com/title/tt0099763/,//www.rottentomatoes.com/m/henry-portrait-of-a-serial-killer/
Someone to Watch over Me,Feature Film,Drama,106,R,Sony Pictures Home Entertainment,1987,10,9,2001,8,28,6.1,7076,Fresh,76,Spilled,42,no,no,no,no,no,no,Ridley Scott,Tom Berenger,Mimi Rogers,Lorraine Bracco,Jerry Orbach,John Rubinstein,http://www.imdb.com/title/tt0094008/,//www.rottentomatoes.com/m/someone_to_watch_over_me/
Normal,TV Movie,Drama,110,Unrated,Bankside Films,2003,1,21,2003,10,7,7.3,2598,Fresh,100,Upright,75,no,no,no,yes,no,no,Jane Anderson,Tom Wilkinson,Jessica Lange,Randall Arney,Hayden Panettiere,Joe Sikora,http://www.imdb.com/title/tt0338290/,//www.rottentomatoes.com/m/normal/
Winter's Bone,Feature Film,Drama,100,R,Roadside Attractions,2010,6,11,2010,10,26,7.2,108598,Certified Fresh,94,Upright,76,yes,no,no,yes,no,no,Debra Granik,Jennifer Lawrence,John Hawkes,Kevin Breznahan,Dale Dickey,Garret Dillahunt,http://www.imdb.com/title/tt1399683/,//www.rottentomatoes.com/m/10012136-winters_bone/
Your Sister's Sister,Feature Film,Drama,90,R,IFC Films,2012,6,15,2012,11,6,6.7,20655,Certified Fresh,83,Upright,66,no,no,no,no,no,no,Lynn Shelton,Emily Blunt,Rosemarie DeWitt,Mark Duplass,Mike Birbiglia,Mike Harring,http://www.imdb.com/title/tt1742336/,//www.rottentomatoes.com/m/your_sisters_sister/
The Kingdom,Feature Film,Drama,110,R,Universal Pictures,2007,9,28,2007,12,23,7.1,99192,Rotten,51,Upright,76,no,no,yes,no,no,no,Peter Berg,Jamie Foxx,Chris Cooper,Jennifer Garner,Jason Bateman,Ashraf Barhom,http://www.imdb.com/title/tt0431197/,//www.rottentomatoes.com/m/the_kingdom/
Patch Adams,Feature Film,Drama,115,PG-13,Universal Studios,1998,12,25,1999,6,22,6.7,77762,Rotten,22,Upright,74,no,no,yes,no,no,no,Tom Shadyac,Robin Williams,Daniel London,Monica Potter,Philip Seymour Hoffman,Bob Gunton,http://www.imdb.com/title/tt0129290/,//www.rottentomatoes.com/m/patch_adams/
The Heavenly Kid,Feature Film,Drama,90,PG-13,Orion,1985,7,26,2005,11,15,6.2,2830,Rotten,25,Upright,64,no,no,no,no,no,no,Cary Medoway,Lewis Smith,Richard Mulligan,Jason Gedrick,Jane Kaczmarek,Mark Metcalf,http://www.imdb.com/title/tt0089265/,//www.rottentomatoes.com/m/heavenly_kid/
Hoodlum,Feature Film,Drama,130,R,905 Corporation,1997,8,27,2001,5,15,6.2,8016,Rotten,45,Upright,66,no,no,no,no,no,no,Bill Duke,Laurence Fishburne,Tim Roth,Vanessa L. Williams,Andy Garcia,Cicely Tyson,http://www.imdb.com/title/tt0119311/,//www.rottentomatoes.com/m/1078030-hoodlum/
National Security,Feature Film,Drama,88,PG-13,Sony Pictures,2003,1,17,2003,5,27,5.6,37938,Rotten,11,Spilled,45,no,no,no,no,no,no,Dennis Dugan,Martin Lawrence,Steve Zahn,Colm Feore,Bill Duke,Eric Roberts,http://www.imdb.com/title/tt0271668/,//www.rottentomatoes.com/m/national_security/
Young Adult,Feature Film,Drama,94,R,Paramount Studios,2011,12,16,2012,3,13,6.3,63219,Certified Fresh,80,Spilled,49,no,no,no,yes,no,no,Jason Reitman,Charlize Theron,Patton Oswalt,Patrick Wilson,Elizabeth Reaser,Collette Wolfe,http://www.imdb.com/title/tt1625346/,//www.rottentomatoes.com/m/young_adult/
The Man Who Sued God,Feature Film,Drama,97,R,NA,2001,10,25,2007,3,13,6.5,4251,Fresh,71,Spilled,59,no,no,no,no,no,no,Mark Joffe,Billy Connolly,Judy Davis,Colin Friels,Bille Brown,Wendy Hughes,http://www.imdb.com/title/tt0268437/,//www.rottentomatoes.com/m/man_who_sued_god/
Compliance,Feature Film,Drama,90,R,Magnolia Pictures,2012,8,17,2013,1,8,6.4,23697,Certified Fresh,89,Upright,60,no,no,no,no,no,no,Craig Zobel,Ann Dowd,Dreama Walker,Pat Healy,Bill Camp,Philip Ettinger,http://www.imdb.com/title/tt1971352/,//www.rottentomatoes.com/m/compliance_2012/
